Age,Overall rating,Height in cm,Weight in kg,Value,Wage,Total attacking,Total skill,Total movement,Total power,Total mentality,Total defending,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,ATT,DEF,GK,MID
26,76,173,62,€8M,€38K,56.8,59.8,75.2,61.4,59.83,73.33,9,8,7,11,12,FALSE,TRUE,FALSE,FALSE
26,67,186,84,€1.2M,€8K,48.6,45.2,64.6,66.6,47.17,65,11,8,10,7,13,FALSE,TRUE,FALSE,FALSE
25,72,178,64,€2.7M,€26K,58.6,62,67.8,64.6,65.17,74,9,14,8,10,11,FALSE,TRUE,FALSE,FALSE
29,79,172,81,€17.5M,€32K,74,66.4,78.2,83.2,70.5,41.67,11,6,6,10,14,TRUE,FALSE,FALSE,FALSE
26,79,190,81,€20.5M,€50K,62.2,67.6,73.2,78.4,71.67,79.67,12,12,7,13,11,FALSE,TRUE,FALSE,FALSE
26,82,183,74,€34M,€46K,70,70,76.6,85.4,81.17,81,9,11,12,12,10,FALSE,FALSE,FALSE,TRUE
25,77,189,85,€14M,€63K,69.8,59.4,71.8,78.8,62.5,25,10,7,9,8,10,TRUE,FALSE,FALSE,FALSE
25,77,180,77,€12.5M,€46K,71.6,76.6,75.2,73.8,72.83,56.67,12,9,14,14,15,FALSE,FALSE,FALSE,TRUE
26,81,184,71,€32.5M,€100K,79.2,72.8,76.8,79.4,74.67,49.67,12,7,8,11,13,TRUE,FALSE,FALSE,FALSE
24,73,191,82,€3.5M,€22K,21.6,20.8,46.8,43.4,26.5,14.33,73,69,70,73,76,FALSE,FALSE,TRUE,FALSE
24,77,166,68,€14M,€39K,63.8,69,83.2,67.4,70.17,72.33,14,14,10,14,5,FALSE,FALSE,FALSE,TRUE
26,79,185,74,€19.5M,€20K,61,64.4,67.8,67.6,70.83,77,11,7,6,5,14,FALSE,FALSE,FALSE,TRUE
25,81,191,77,€31M,€70K,67.8,70.8,70.4,80,73.5,81,7,13,11,6,7,FALSE,FALSE,FALSE,TRUE
25,79,187,82,€19M,€38K,14.4,17.6,50.8,46.8,31.33,15,80,76,72,80,82,FALSE,FALSE,TRUE,FALSE
25,77,185,70,€14M,€51K,73,63.6,77.2,74.4,64.5,34.67,15,13,6,7,14,TRUE,FALSE,FALSE,FALSE
24,77,171,67,€16M,€41K,68.4,70.8,82.2,71,62.67,36,5,6,14,7,12,FALSE,FALSE,FALSE,TRUE
24,80,190,85,€25.5M,€34K,50.6,53.2,65.8,65.8,62.33,79,12,13,6,11,15,FALSE,TRUE,FALSE,FALSE
23,74,168,58,€0,€0,64.6,67.8,80.2,56,63,51.67,14,13,14,7,9,FALSE,FALSE,FALSE,TRUE
23,75,193,79,€11.5M,€21K,66.4,59.2,70.6,79.4,62.67,26.33,7,14,14,8,9,TRUE,FALSE,FALSE,FALSE
26,80,173,72,€23M,€18K,66.8,68.6,82,63,68.17,58.33,14,6,13,10,9,FALSE,FALSE,FALSE,TRUE
25,78,185,84,€19M,€32K,74,69,72.8,77.6,67.67,39.67,9,8,9,7,6,TRUE,FALSE,FALSE,FALSE
26,84,187,84,€49M,€135K,57.4,52.4,75,72,65,84.67,13,15,13,5,6,FALSE,TRUE,FALSE,FALSE
23,81,178,74,€36.5M,€22K,71.2,76.2,78.6,73.6,75,71,5,10,8,11,10,FALSE,FALSE,FALSE,TRUE
22,75,178,74,€12.5M,€40K,65.4,71.8,76.6,73,70.5,72,14,14,13,11,7,FALSE,FALSE,FALSE,TRUE
22,76,168,56,€15M,€26K,68.6,74,81,71.8,71.17,72,14,15,14,6,14,FALSE,FALSE,FALSE,TRUE
25,81,180,72,€31M,€68K,77.2,71,81.6,70.4,69.5,41,10,6,9,5,8,TRUE,FALSE,FALSE,FALSE
25,77,176,72,€13M,€37K,66.6,71.4,82.6,77,72.67,73.33,12,8,7,10,9,FALSE,FALSE,FALSE,TRUE
24,74,183,71,€6M,€35K,66.4,65.6,80.6,72.6,59.17,20.67,8,6,9,5,11,TRUE,FALSE,FALSE,FALSE
23,75,185,76,€11.5M,€49K,58.6,58,76.4,72.2,60.83,73.33,9,7,5,8,7,FALSE,TRUE,FALSE,FALSE
30,81,185,83,€25.5M,€21K,77,71,75.4,78.6,67.17,34.67,9,11,9,15,8,TRUE,FALSE,FALSE,FALSE
23,75,183,73,€8.5M,€67K,63.6,74.6,68.2,69,67.5,67.67,14,7,6,13,9,FALSE,FALSE,FALSE,TRUE
24,73,189,82,€0,€0,60.2,64.4,76,69.2,61.5,33,9,12,13,7,11,FALSE,FALSE,FALSE,TRUE
21,73,170,61,€7M,€3K,61.8,72,78,67.4,67.33,62.33,15,15,6,12,13,FALSE,FALSE,FALSE,TRUE
23,78,169,56,€16M,€9K,63.6,72.8,77.8,61,69.33,53.67,12,15,14,12,9,FALSE,FALSE,FALSE,TRUE
22,74,180,75,€8.5M,€20K,67.4,73.8,74.2,73.8,63.5,38,7,13,15,8,7,FALSE,FALSE,FALSE,TRUE
23,77,177,70,€15.5M,€32K,74.4,63.6,71.4,76.2,66.83,41.33,8,14,6,14,15,TRUE,FALSE,FALSE,FALSE
23,77,183,68,€15M,€15K,58.8,59.6,74.6,71,64.17,76.33,12,5,14,7,10,FALSE,TRUE,FALSE,FALSE
25,76,176,69,€10M,€22K,64.4,66.8,82.6,70,67.33,70,14,14,14,10,8,FALSE,FALSE,FALSE,TRUE
21,71,177,66,€4M,€8K,57,59.8,76.6,66.8,61.33,66.33,9,12,10,5,15,FALSE,TRUE,FALSE,FALSE
20,69,167,65,€3.1M,€8K,53.8,63.8,82,54.6,56.5,43.33,12,13,11,8,15,FALSE,FALSE,FALSE,TRUE
22,74,183,90,€9.5M,€900,65,57.4,72.2,77.6,62.17,23,9,12,14,13,10,TRUE,FALSE,FALSE,FALSE
23,75,188,85,€8M,€29K,53.8,56.6,73.2,56.4,60.83,69.67,8,8,9,8,6,FALSE,TRUE,FALSE,FALSE
23,75,175,70,€8.5M,€31K,65.4,71.6,78,65.4,61.83,35.67,7,11,5,9,11,FALSE,FALSE,FALSE,TRUE
23,75,176,62,€9M,€26K,62.6,77,74.6,68.4,71.67,66.67,6,9,12,8,5,FALSE,FALSE,FALSE,TRUE
20,74,179,77,€9.5M,€15K,61.2,66.8,78.8,68.2,55,27,7,12,15,6,5,FALSE,FALSE,FALSE,TRUE
22,78,192,79,€22.5M,€52K,75.8,76.8,72.8,77.4,68.33,52.33,11,8,14,8,8,FALSE,FALSE,FALSE,TRUE
20,71,170,61,€3.9M,€4K,54.2,61.2,75.6,63.2,56.83,67.33,12,10,6,8,14,FALSE,TRUE,FALSE,FALSE
25,79,194,88,€20M,€49K,68,64.4,72.6,83,62.33,19.33,15,11,9,6,13,TRUE,FALSE,FALSE,FALSE
22,78,190,79,€20.5M,€39K,65.8,64.8,71.4,74.8,68.17,76,11,6,7,13,7,FALSE,TRUE,FALSE,FALSE
24,80,185,75,€30M,€21K,69,79,66.2,74,71.33,64,12,11,10,5,9,FALSE,FALSE,FALSE,TRUE
21,71,175,65,€4.2M,€45K,62.4,66.8,80.8,65,62,35,9,12,7,8,7,FALSE,FALSE,FALSE,TRUE
21,73,182,73,€7M,€10K,66.8,74.2,72.4,71.6,67.33,58.33,9,12,10,6,7,FALSE,FALSE,FALSE,TRUE
21,76,182,77,€12M,€9K,62.8,61.4,69.4,75.2,71.33,71.67,8,13,14,14,7,FALSE,FALSE,FALSE,TRUE
21,73,175,70,€6M,€28K,60.8,68.6,84.8,66,56.83,26.67,6,13,7,12,14,FALSE,FALSE,FALSE,TRUE
21,73,181,78,€4.4M,€24K,68,65.2,72,75.6,59,35,9,5,7,10,15,FALSE,FALSE,FALSE,TRUE
21,77,174,69,€17M,€23K,70,75.8,73.8,71.2,72.83,65.67,6,11,8,12,11,FALSE,FALSE,FALSE,TRUE
21,76,180,73,€11.5M,€25K,66.4,64.4,80,67,62.83,50,8,13,13,14,7,FALSE,FALSE,FALSE,TRUE
44,77,192,92,€1.2M,€3K,19,24.4,46.6,46.6,36.67,11.67,73,73,69,86,75,FALSE,FALSE,TRUE,FALSE
37,80,185,78,€2.3M,€20K,19.8,22.6,54,45.8,30.67,14.67,81,73,70,81,81,FALSE,FALSE,TRUE,FALSE
34,64,173,62,€275K,€5K,58.6,65.2,73.8,55.6,53.5,39.67,14,8,7,15,6,TRUE,FALSE,FALSE,FALSE
33,77,180,70,€6.5M,€37K,73,79.4,70.2,50,63.5,17,6,14,10,6,14,FALSE,FALSE,FALSE,TRUE
31,80,182,76,€17.5M,€115K,74.2,85.6,64.6,67,67.67,44,9,14,7,7,6,FALSE,FALSE,FALSE,TRUE
32,80,181,78,€16.5M,€88K,72.4,81.2,64.2,74.6,75.17,69,8,15,15,16,11,FALSE,FALSE,FALSE,TRUE
31,81,176,72,€21M,€49K,74.2,80.8,73.6,72.8,76,53,14,7,12,6,10,FALSE,FALSE,FALSE,TRUE
31,85,180,78,€37M,€200K,75.4,80.2,80,79.4,79.67,85.33,5,7,14,15,9,FALSE,TRUE,FALSE,FALSE
30,79,188,76,€20M,€47K,69.2,72.4,68.4,84.2,75.67,80.67,15,10,10,8,10,FALSE,FALSE,FALSE,TRUE
30,83,191,81,€30M,€135K,58.4,63.2,66.6,67.4,66.17,83,11,11,9,5,14,FALSE,TRUE,FALSE,FALSE
29,76,185,80,€7.5M,€35K,70.8,64,74.6,80,65.33,30,9,10,16,7,15,TRUE,FALSE,FALSE,FALSE
30,77,181,76,€8.5M,€65K,65.6,68.2,68.2,66.4,68.5,78.67,11,7,6,7,14,FALSE,TRUE,FALSE,FALSE
30,74,175,65,€4.1M,€8K,71.2,71.4,75.2,69.6,69.67,55.67,14,10,8,13,9,FALSE,FALSE,FALSE,TRUE
29,87,183,75,€73.5M,€140K,66.8,64.6,75.8,72,75.67,89,6,6,12,10,13,FALSE,TRUE,FALSE,FALSE
28,79,184,75,€21M,€61K,75.8,74.8,71.2,77.6,76.67,76.33,7,13,12,10,9,FALSE,FALSE,FALSE,TRUE
29,88,188,86,€70M,€210K,26.2,40.6,64.6,57.4,50.67,17.33,87,82,91,86,87,FALSE,FALSE,TRUE,FALSE
29,83,189,85,€33.5M,€59K,61.6,70.6,61.6,69,68.17,85,10,11,5,14,5,FALSE,TRUE,FALSE,FALSE
27,82,187,84,€31M,€95K,69.4,76.6,63.2,79.6,74.83,78,9,7,12,11,11,FALSE,FALSE,FALSE,TRUE
26,81,176,72,€30M,€95K,76.6,82,63.6,77,76.33,70.33,6,8,10,14,12,FALSE,FALSE,FALSE,TRUE
27,76,178,68,€11M,€71K,63.4,73.6,75,70.2,70.5,64,14,7,9,12,11,FALSE,FALSE,FALSE,TRUE
21,73,183,74,€7M,€35K,61.8,57.4,69.4,76.2,59,24.33,9,6,7,6,9,TRUE,FALSE,FALSE,FALSE
20,70,183,80,€3.5M,€19K,63.4,54.4,68,69.6,54.33,20,12,6,12,12,10,TRUE,FALSE,FALSE,FALSE
22,76,179,79,€17M,€38K,65.2,70.8,75.8,73.2,69.67,73,5,8,7,14,7,FALSE,FALSE,FALSE,TRUE
20,69,182,70,€3.1M,€15K,62.2,57.6,78.4,62.6,56,47.33,15,9,14,7,10,TRUE,FALSE,FALSE,FALSE
20,69,182,70,€3M,€30K,60,69.6,73.2,68.8,69.67,66.33,9,5,10,11,7,FALSE,FALSE,FALSE,TRUE
18,66,176,70,€2.2M,€2K,56,63.2,76.8,60,47.5,41.33,8,10,14,14,7,FALSE,FALSE,FALSE,TRUE
20,71,186,80,€4.1M,€48K,65.4,58.6,70.4,73.8,54.83,24,8,9,10,11,10,TRUE,FALSE,FALSE,FALSE
20,72,192,77,€5M,€10K,67,71,72,75,69.17,62.33,9,6,11,12,8,FALSE,FALSE,FALSE,TRUE
21,75,181,78,€12M,€10K,55.4,65.6,75.6,78.2,67.5,72.33,11,11,11,6,13,FALSE,FALSE,FALSE,TRUE
22,68,177,74,€0,€0,56,66.2,76.6,67.4,52.83,31.67,9,8,13,14,9,FALSE,FALSE,FALSE,TRUE
18,68,196,96,€2.6M,€5K,44.6,49.8,40.4,63.4,52,66,10,12,13,13,7,FALSE,TRUE,FALSE,FALSE
23,75,186,72,€6.5M,€29K,67.8,66,83.6,82.2,68.17,64,13,9,11,13,8,TRUE,FALSE,FALSE,FALSE
23,73,181,74,€6.5M,€14K,61.2,66.8,76.6,60.6,61.83,69.33,11,13,10,14,9,FALSE,FALSE,FALSE,TRUE
23,75,178,74,€8M,€32K,69.6,65.6,76.6,78.4,67,24.67,5,8,6,9,15,TRUE,FALSE,FALSE,FALSE
20,73,180,79,€6.5M,€28K,65.8,73.4,78.2,69.4,58.83,38,11,15,11,6,9,FALSE,FALSE,FALSE,TRUE
19,63,178,70,€1.1M,€2K,54.8,62.4,67,60.6,58.5,57.67,10,11,10,7,8,FALSE,FALSE,FALSE,TRUE
21,71,188,76,€4.2M,€16K,57,67.4,69,71,62,60.67,7,7,13,9,13,FALSE,FALSE,FALSE,TRUE
18,64,191,76,€1.4M,€4K,42.4,39,64.2,52.8,45,64.67,15,9,10,6,7,FALSE,TRUE,FALSE,FALSE
18,66,184,79,€2.2M,€6K,60.4,58,65,64,47.67,18,6,6,7,6,15,TRUE,FALSE,FALSE,FALSE
19,69,177,68,€3.2M,€3K,58,64.4,71.2,62.2,64,65.67,13,8,14,11,11,FALSE,FALSE,FALSE,TRUE
19,64,181,76,€1.5M,€2K,60.4,64.4,69.6,63.6,56.17,51.67,12,15,14,14,9,FALSE,FALSE,FALSE,TRUE
19,73,175,70,€6.5M,€16K,61,66.4,71.2,63,54.33,30,6,12,9,6,12,TRUE,FALSE,FALSE,FALSE
18,71,182,76,€4M,€9K,63.6,59,76.6,72,58.17,34,14,13,9,12,11,TRUE,FALSE,FALSE,FALSE
18,65,175,68,€1.8M,€7K,53.6,57,77.8,50.8,48.17,22,15,6,14,8,6,FALSE,FALSE,FALSE,TRUE
22,72,188,76,€5M,€25K,54.2,61,68,60.8,59.83,70.33,14,7,13,10,11,FALSE,TRUE,FALSE,FALSE
17,68,166,63,€3M,€700,50.2,61,84.2,52.8,58.67,31.33,6,7,14,10,15,FALSE,FALSE,FALSE,TRUE
23,78,194,88,€18M,€53K,18.2,28,49,48.8,30.5,14,79,79,70,77,78,FALSE,FALSE,TRUE,FALSE
24,68,175,69,€1.3M,€1K,61,67.2,77.8,63,51.5,26.33,6,14,6,14,6,FALSE,FALSE,FALSE,TRUE
24,78,177,79,€12M,€30K,73.4,79.6,73.6,80.6,69.83,57,14,14,10,6,9,FALSE,FALSE,FALSE,TRUE
20,72,186,75,€5M,€16K,68.6,70.2,71.6,68.8,66.83,59,8,9,8,7,6,FALSE,FALSE,FALSE,TRUE
18,59,170,60,€575K,€6K,53.6,51.2,66.4,49.2,51.17,26.67,11,12,9,13,7,FALSE,FALSE,FALSE,TRUE
20,69,180,65,€3.1M,€16K,60.6,61,73.8,67,54.67,23.67,11,8,11,8,7,TRUE,FALSE,FALSE,FALSE
18,69,185,77,€3M,€3K,47.8,44.8,56.8,53.8,51.83,71.33,11,6,8,13,13,FALSE,TRUE,FALSE,FALSE
20,72,190,80,€4.8M,€38K,48.8,55.6,64.8,61,57.33,72,9,6,11,9,9,FALSE,TRUE,FALSE,FALSE
19,69,179,67,€3.3M,€4K,59.6,65,69.8,57.6,57,39.33,14,5,12,6,12,FALSE,FALSE,FALSE,TRUE
19,71,173,65,€4.4M,€7K,57.8,70.4,74.8,62,63.5,54,13,12,15,12,9,FALSE,FALSE,FALSE,TRUE
18,64,178,67,€1.5M,€5K,52.4,57,79.4,58,49.83,30.33,8,15,8,9,11,FALSE,FALSE,FALSE,TRUE
19,72,193,82,€5M,€21K,62.8,56,61.4,73.4,47.67,15,11,12,11,8,8,TRUE,FALSE,FALSE,FALSE
18,65,173,71,€1.8M,€2K,62,62.6,66.8,61.6,59,60.33,12,10,9,10,11,FALSE,FALSE,FALSE,TRUE
18,65,186,81,€1.8M,€10K,51.4,61.6,65.6,62.4,57.33,47,14,10,15,12,8,FALSE,FALSE,FALSE,TRUE
27,81,184,83,€26.5M,€58K,66.2,67,77,79.8,76.67,79.67,11,11,9,8,11,FALSE,FALSE,FALSE,TRUE
26,78,182,74,€17M,€33K,74.2,71.8,72.6,74.4,66.33,31,12,9,8,15,7,TRUE,FALSE,FALSE,FALSE
25,79,197,90,€18M,€71K,20.2,29.2,57.6,50.6,34.33,14.67,79,77,75,79,80,FALSE,FALSE,TRUE,FALSE
26,79,190,81,€20.5M,€50K,62.2,67.6,73.2,78.4,71.67,79.67,12,12,7,13,11,FALSE,TRUE,FALSE,FALSE
25,78,176,70,€18.5M,€68K,68.8,74.8,81.4,79.6,77.33,70.33,5,12,6,13,14,FALSE,FALSE,FALSE,TRUE
26,85,190,89,€47.5M,€38K,20.6,19.2,52.4,52.8,31.17,13.67,85,81,76,85,86,FALSE,FALSE,TRUE,FALSE
24,74,190,76,€5M,€31K,55,57.6,66,64.8,63.33,74.33,7,8,8,11,12,FALSE,TRUE,FALSE,FALSE
25,75,171,63,€6.5M,€38K,64.2,66.2,85.6,66.4,64.83,43.67,7,6,11,15,9,FALSE,FALSE,FALSE,TRUE
28,81,188,80,€26.5M,€90K,55.8,56.4,59.4,64,65.67,83.33,10,13,12,8,12,FALSE,TRUE,FALSE,FALSE
27,81,188,80,€25M,€80K,68.4,64.6,74.8,79.4,69.67,77.33,10,10,7,13,14,FALSE,TRUE,FALSE,FALSE
26,80,181,73,€24.5M,€36K,65.8,71.8,76.6,76,71.33,78.67,6,8,9,10,13,FALSE,TRUE,FALSE,FALSE
25,76,178,80,€10M,€54K,58.4,71,76.4,71.6,69.17,73.67,7,6,7,7,10,FALSE,FALSE,FALSE,TRUE
25,71,184,79,€2.4M,€19K,64.8,61.2,72.6,75.8,63.17,43.33,6,11,8,9,9,FALSE,FALSE,FALSE,TRUE
25,77,182,79,€12M,€36K,65.4,66.8,77.4,73,72.5,75,13,7,9,9,11,FALSE,TRUE,FALSE,FALSE
26,82,188,78,€36.5M,€42K,75.4,67.2,69.8,82.4,66.33,28.33,13,9,14,9,13,TRUE,FALSE,FALSE,FALSE
25,80,178,67,€31M,€48K,70,79.6,79.2,72.4,70.83,46.67,10,12,9,14,10,FALSE,FALSE,FALSE,TRUE
23,78,192,82,€19M,€47K,63.4,63,68.2,72.4,66.33,77.33,13,8,7,8,8,FALSE,TRUE,FALSE,FALSE
26,80,182,78,€25M,€81K,67.2,76.2,74.6,77.4,73.33,78,12,8,8,12,8,FALSE,FALSE,FALSE,TRUE
25,82,175,66,€38M,€100K,76,83.6,72.6,78,79.5,75.33,12,6,13,10,7,FALSE,FALSE,FALSE,TRUE
26,79,191,85,€19M,€48K,50,52.6,63,65.2,65.17,79.67,9,6,15,8,6,FALSE,TRUE,FALSE,FALSE
24,74,175,68,€0,€0,58.6,63.6,75.8,62.2,62.83,72.67,9,5,10,5,7,FALSE,TRUE,FALSE,FALSE
23,66,180,75,€1.5M,€11K,59.8,58.8,73.4,66.6,52.67,16.33,7,12,10,8,5,TRUE,FALSE,FALSE,FALSE
24,78,180,86,€18M,€78K,77.4,75.8,73.6,80,75.17,77.67,7,9,12,9,11,FALSE,TRUE,FALSE,FALSE
26,76,191,76,€5.5M,€21K,50.8,56,55.8,60.8,61.17,75.33,12,10,6,11,5,FALSE,FALSE,FALSE,TRUE
23,76,180,75,€12M,€14K,71.8,66.8,75.4,77.8,61.17,34.33,6,10,10,10,8,TRUE,FALSE,FALSE,FALSE
24,76,178,72,€7.5M,€22K,68.4,71.8,81.4,65,55.17,31,8,9,9,10,9,FALSE,FALSE,FALSE,TRUE
25,73,183,70,€3.8M,€34K,60.6,60.8,75.4,68.2,68.83,69.33,15,9,7,6,14,FALSE,FALSE,FALSE,TRUE
23,78,187,75,€21M,€22K,74.4,77.4,78.2,76.2,63,35.67,13,8,7,7,11,FALSE,FALSE,FALSE,TRUE
25,70,175,67,€2.1M,€26K,62.4,61.8,72.4,65.6,65.83,68,5,13,10,15,14,FALSE,FALSE,FALSE,TRUE
23,74,185,79,€6M,€29K,68.6,62.4,72,80.6,67.33,41,8,7,9,8,9,TRUE,FALSE,FALSE,FALSE
23,75,187,80,€7.5M,€33K,53,57.2,70.6,60.8,61,76,7,7,13,11,11,FALSE,TRUE,FALSE,FALSE
28,75,182,84,€0,€0,63,70.4,64.2,79.4,73.33,70.67,11,9,13,9,12,FALSE,FALSE,FALSE,TRUE
22,73,167,55,€6M,€18K,60.2,64,84.8,59.4,61.67,31.33,7,10,13,5,11,FALSE,FALSE,FALSE,TRUE
22,72,170,67,€5.5M,€33K,64.8,66.2,77.8,68.4,61.17,41,9,12,9,14,13,FALSE,FALSE,FALSE,TRUE
23,73,175,73,€4.5M,€25K,51.4,60.6,80.2,66.2,61,69,11,9,12,9,8,FALSE,TRUE,FALSE,FALSE
27,79,190,76,€18.5M,€66K,56.8,60.6,66.4,70.4,65.33,80,7,15,9,14,6,FALSE,TRUE,FALSE,FALSE
23,77,183,68,€15M,€15K,58.8,59.6,74.6,71,64.17,76.33,12,5,14,7,10,FALSE,TRUE,FALSE,FALSE
23,76,174,68,€12M,€23K,60.4,67.2,78.8,63.8,69.67,73,14,9,6,6,6,FALSE,FALSE,FALSE,TRUE
22,76,176,76,€15.5M,€44K,69.6,66.2,77,75.6,72,44,6,14,10,14,8,TRUE,FALSE,FALSE,FALSE
21,74,180,71,€9.5M,€17K,63.4,64.8,82,71,57.5,24,9,7,9,13,11,FALSE,FALSE,FALSE,TRUE
23,74,173,73,€6.5M,€16K,68.6,68.6,87.8,73.8,66,31.33,8,11,11,8,7,TRUE,FALSE,FALSE,FALSE
21,77,178,65,€23.5M,€18K,65,70.8,84.8,65.2,64.83,42.33,13,8,14,10,12,FALSE,FALSE,FALSE,TRUE
23,76,185,81,€9.5M,€27K,60.6,59.4,71.6,67.2,65,75,7,11,5,15,12,FALSE,TRUE,FALSE,FALSE
23,75,188,85,€8M,€29K,53.8,56.6,73.2,56.4,60.83,69.67,8,8,9,8,6,FALSE,TRUE,FALSE,FALSE
25,78,182,78,€20.5M,€29K,64.4,70.4,67,68.8,70.83,75.67,7,7,11,11,14,FALSE,FALSE,FALSE,TRUE
21,74,175,70,€9M,€59K,47.4,55.8,78.2,61.8,61.83,72,14,8,7,14,13,FALSE,TRUE,FALSE,FALSE
19,68,193,89,€2.5M,€10K,13,15,50.8,43.8,28.17,13.67,69,64,63,65,69,FALSE,FALSE,TRUE,FALSE
22,74,178,65,€9.5M,€35K,63.6,65.4,83.2,63,58.33,37,7,5,15,7,6,FALSE,FALSE,FALSE,TRUE
23,76,187,77,€10.5M,€38K,57.4,57.2,71.6,60.8,59,77.67,11,6,10,9,12,FALSE,TRUE,FALSE,FALSE
22,73,188,80,€4.4M,€20K,54.6,54.8,54,63.2,59.33,73,14,11,7,6,7,FALSE,TRUE,FALSE,FALSE
22,74,186,77,€9M,€17K,49.8,52.2,60,58.4,57.67,75,6,15,13,14,8,FALSE,TRUE,FALSE,FALSE
22,72,183,69,€5.5M,€13K,63.6,67.6,73.4,69.8,57.17,33.67,13,15,14,6,5,FALSE,FALSE,FALSE,TRUE
22,73,180,72,€6.5M,€59K,50.8,56.4,79.8,62.4,60.17,67.67,10,8,9,14,13,FALSE,TRUE,FALSE,FALSE
24,74,172,66,€11M,€15K,62.8,75.6,77.6,63.8,64.5,36,14,9,12,11,12,FALSE,FALSE,FALSE,TRUE
21,68,198,75,€2.7M,€8K,61.2,58.4,56,66.8,59,34.67,11,8,13,9,8,TRUE,FALSE,FALSE,FALSE
20,70,191,77,€3.3M,€15K,44.4,44.6,51.6,61.4,49.67,68.33,11,11,13,10,11,FALSE,TRUE,FALSE,FALSE
23,65,174,69,€0,€0,54.8,61.8,78.2,57.6,53.83,40,13,9,10,15,12,FALSE,FALSE,FALSE,TRUE
21,71,185,82,€4.2M,€51K,65.8,68,71.2,67.4,60.5,42,13,8,13,5,11,FALSE,FALSE,FALSE,TRUE
22,76,176,71,€12.5M,€15K,70.8,72.6,79.6,73.4,64.5,37.67,12,9,9,5,7,FALSE,FALSE,FALSE,TRUE
22,75,194,86,€12M,€15K,50.8,53.2,61.4,68,55,75,12,14,8,10,13,FALSE,TRUE,FALSE,FALSE
34,64,173,62,€275K,€5K,58.6,65.2,73.8,55.6,53.5,39.67,14,8,7,15,6,TRUE,FALSE,FALSE,FALSE
36,77,185,77,€3.6M,€17K,76.2,69.4,62,73.4,76.33,44,12,5,13,13,10,TRUE,FALSE,FALSE,FALSE
37,83,193,80,€12.5M,€43K,80,70.6,62.6,79,72,32.67,9,11,13,15,15,TRUE,FALSE,FALSE,FALSE
34,80,169,65,€10.5M,€88K,79,80.2,79.6,73.6,73.33,41.33,10,10,15,12,13,FALSE,FALSE,FALSE,TRUE
31,78,172,68,€14.5M,€83K,71,80.8,75,65.4,69,49.33,12,7,9,14,6,FALSE,FALSE,FALSE,TRUE
32,82,174,70,€24M,€125K,74,84.8,74.2,66,77.5,68.67,6,11,7,9,13,FALSE,FALSE,FALSE,TRUE
31,80,182,76,€17.5M,€115K,74.2,85.6,64.6,67,67.67,44,9,14,7,7,6,FALSE,FALSE,FALSE,TRUE
32,78,182,77,€11M,€20K,72.6,78.4,76.6,74.2,74.5,69,4,5,3,4,8,FALSE,FALSE,FALSE,TRUE
30,80,191,84,€29M,€120K,76.8,85.6,66.8,80,77,61.33,5,6,2,4,3,FALSE,FALSE,FALSE,TRUE
30,84,183,74,€40.5M,€78K,71.8,85.2,75.6,71.8,66,62.67,6,8,6,12,11,FALSE,FALSE,FALSE,TRUE
31,80,183,83,€15M,€125K,59.2,65,54.6,72.6,72.5,79.33,12,14,10,11,16,FALSE,FALSE,FALSE,TRUE
29,79,177,73,€17.5M,€25K,69.4,78.2,86.2,70.6,65,28.67,12,16,14,11,11,TRUE,FALSE,FALSE,FALSE
30,80,186,75,€18M,€63K,69.6,68,80.4,71,72.67,76.33,11,13,12,15,14,FALSE,TRUE,FALSE,FALSE
29,76,185,80,€7.5M,€35K,70.8,64,74.6,80,65.33,30,9,10,16,7,15,TRUE,FALSE,FALSE,FALSE
27,77,177,70,€11M,€71K,72,79.2,75.8,74,74.67,65.33,15,14,7,10,7,FALSE,FALSE,FALSE,TRUE
29,82,191,75,€30M,€59K,79.2,84.6,77.6,80.4,73,47.33,13,11,13,12,10,FALSE,FALSE,FALSE,TRUE
27,76,183,81,€8M,€18K,68,58.4,74.8,77.2,61.83,25.33,8,15,10,6,13,TRUE,FALSE,FALSE,FALSE
28,82,173,63,€30.5M,€24K,75.4,79.6,82,75,73.5,37,7,9,10,8,13,FALSE,FALSE,FALSE,TRUE
27,77,185,75,€11M,€71K,60.6,68.6,74.6,74,66.17,55.33,14,7,12,14,11,FALSE,FALSE,FALSE,TRUE
27,81,191,88,€27.5M,€74K,76.2,74.8,76.2,83.4,75.17,74.33,11,7,12,15,13,TRUE,FALSE,FALSE,FALSE
27,87,191,89,€78M,€90K,26.2,37.2,57,55.4,37.17,19.33,85,82,87,85,89,FALSE,FALSE,TRUE,FALSE
27,76,178,68,€11M,€71K,63.4,73.6,75,70.2,70.5,64,14,7,9,12,11,FALSE,FALSE,FALSE,TRUE
27,75,180,69,€6M,€42K,68.8,72.8,71.8,76.8,70.83,72.67,8,11,12,7,9,FALSE,FALSE,FALSE,TRUE
26,74,172,69,€5M,€40K,69,65.8,78.2,71,66.67,28,10,13,13,12,7,TRUE,FALSE,FALSE,FALSE
26,82,172,74,€33.5M,€56K,77,80.6,84.8,79.8,65.5,41,8,14,15,7,9,FALSE,FALSE,FALSE,TRUE
26,79,183,77,€20.5M,€53K,68.2,74,69.4,76.4,72.67,75.33,13,13,6,16,12,FALSE,FALSE,FALSE,TRUE
